economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
BEL,2021.0,51658.238294958,81.790243902439,5743.62109375,3.2,6.38112020492554,11586195.0,HIC,ECS
BEL,2022.0,50822.2518538518,81.7487804878049,5404.62402344,3.1,6.27796983718872,11680210.0,HIC,ECS
BEN,2020.0,1200.19426631122,60.154,32.55360031,50.4,2.89898431911618,13070169.0,LMC,SSF
BEN,2021.0,1318.65158107487,59.61,34.03829193,49.1,3.09692638090381,13413417.0,LMC,SSF
BEN,2022.0,1266.42710981159,60.475,33.88216782,47.7,3.0972642678305,13759501.0,LMC,SSF
BFA,2020.0,825.237038782475,60.454,54.28778839,48.7,5.21148277030166,21478690.0,LIC,SSF
BFA,2021.0,895.535288442991,60.046,57.22399521,47.3,5.24913346712028,21995243.0,LIC,SSF
BFA,2022.0,836.118304593682,60.7,56.75708389,46.1,5.29456753304241,22509038.0,LIC,SSF
BGD,2020.0,2248.85078828233,71.421,51.00624084,24.9,2.13974351741877,166298024.0,LMC,SAS
BGD,2021.0,2482.84917843357,71.103,58.53958511,24.5,2.17090882504654,167658854.0,LMC,SAS
BGD,2022.0,2716.48592780431,74.265,61.09237671,24.4,2.08538657806243,169384897.0,LMC,SAS
BGR,2020.0,10769.9475699414,73.3560975609756,856.70440674,5.4,4.48297023773193,6550696.0,HIC,ECS
BGR,2021.0,12972.2173356002,71.2121951219512,1047.45739746,5.2,4.7092399597168,6507301.0,HIC,ECS
BGR,2022.0,13999.6719197289,74.1609756097561,1011.09472656,5.1,4.50109004974365,6465097.0,HIC,ECS
BHR,2020.0,24342.8444554718,78.683,1101.79211426,6.6,2.05801907522052,1472204.0,HIC,MEA
BHR,2021.0,27147.8083882286,78.083,1175.28198242,6.8,1.85115940115918,1504365.0,HIC,MEA
BHR,2022.0,30470.5219276023,80.992,1110.67590332,7.0,1.71192127094005,1524693.0,HIC,MEA
BHS,2020.0,26178.7537607708,72.994,1871.10473633,11.8,3.7125229961238,395863.0,HIC,LCN
BHS,2021.0,30367.8605757708,70.752,2037.53186035,11.7,3.04890655208507,396373.0,HIC,LCN
BHS,2022.0,34957.1613279737,74.491,2341.32348633,11.6,2.62367021406169,397538.0,HIC,LCN
BIH,2020.0,6130.31133245161,76.04,594.8225708,5.8,3.01954088371123,3299349.0,UMC,ECS
BIH,2021.0,7295.3438240957,74.567,697.07427979,5.7,4.13622999191284,3244907.0,UMC,ECS
BIH,2022.0,7655.59421024383,76.777,667.29681396,5.5,2.97012986426524,3204802.0,UMC,ECS
BLR,2020.0,6542.85579976768,72.1385609756098,420.43655396,2.2,4.86263990402222,9379952.0,UMC,ECS
BLR,2021.0,7489.71894713888,72.0714634146342,484.03930664,2.1,4.60641002655029,9302585.0,UMC,ECS
BLR,2022.0,7994.64806074889,74.1033658536585,529.01873779,2.0,4.62823009490967,9228071.0,UMC,ECS
BLZ,2020.0,5227.19363786168,71.58,280.52630615,11.1,5.21301984786987,390812.0,UMC,LCN
BLZ,2021.0,6122.61158580079,70.917,310.2124939,11.0,5.96298980712891,395346.0,UMC,LCN
BLZ,2022.0,7068.45478269722,72.19,297.4163208,10.9,4.60415983200073,402733.0,UMC,LCN
BMU,2020.0,106976.546239632,81.456,,,1.74834797496856,64382.0,HIC,NAC
BMU,2021.0,112765.08167306,81.745,,,1.94565325816336,64648.0,HIC,NAC
BMU,2022.0,121613.939983629,82.062,,,1.77583338857166,64749.0,HIC,NAC
BOL,2020.0,3099.94219053514,62.906,248.69514465,22.2,8.43710994720459,11816299.0,LMC,LCN
BOL,2021.0,3384.84486462654,61.427,276.20880127,21.4,7.96215009689331,11937360.0,LMC,LCN
BOL,2022.0,3643.92826984604,67.434,307.13800049,20.7,7.57550001144409,12077154.0,LMC,LCN
BRA,2020.0,7074.19378337644,74.506,680.76843262,12.8,5.77150011062622,208660842.0,UMC,LCN
BRA,2021.0,7972.5366498646,73.038,768.27075195,12.7,5.4969801902771,209550294.0,UMC,LCN
BRA,2022.0,9281.33334441234,74.872,848.57122803,12.6,5.61922979354858,210306415.0,UMC,LCN
BRB,2020.0,18347.1109131055,76.647,1234.30041504,10.2,3.86529994010925,281698.0,HIC,LCN
BRB,2021.0,18696.7858952957,76.58,1391.49853516,9.9,4.49793004989624,282147.0,HIC,LCN
BRB,2022.0,22164.0260273876,75.676,1302.0592041,9.6,4.14000988006592,282318.0,HIC,LCN
BRN,2020.0,26834.3592463839,75.114,657.90374756,8.5,,447404.0,HIC,EAS
BRN,2021.0,31006.9636220576,74.869,665.54083252,8.4,,451721.0,HIC,EAS
BRN,2022.0,36632.9280421411,72.917,665.86773682,8.3,,455370.0,HIC,EAS
BTN,2020.0,3191.66906999331,72.253,134.13723755,20.3,5.46991778261464,770006.0,LMC,SAS
BTN,2021.0,3570.61257980872,72.448,103.67519379,19.8,6.5983860642268,775442.0,LMC,SAS
BTN,2022.0,3711.32767981591,72.754,154.48924255,19.1,7.46981980280053,780914.0,LMC,SAS
BWA,2020.0,6323.29749806946,67.643,386.28860474,41.5,8.05833660991541,2365894.0,UMC,SSF
BWA,2021.0,7807.88794500125,63.303,492.14260864,40.3,,2401441.0,UMC,SSF
BWA,2022.0,8328.70905682185,68.749,477.83258057,39.2,,2439892.0,UMC,SSF
CAF,2020.0,462.879071294011,50.596,42.634758,74.5,2.14468061163977,5026628.0,LIC,SSF
CAF,2021.0,492.263142830507,40.279,46.24643707,93.6,1.8725169173301,5112100.0,LIC,SSF
CAF,2022.0,467.359825026238,18.818,47.91517639,189.1,2.11509129476365,5098039.0,LIC,SSF
